id,question_text_de,question_text_en,question_text_dari,question_text_pashto,category,state,image
1,"In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil ...","In Germany, people are allowed to say something openly against the government because...",در آلمان، مردم اجازه دارند که آشکارا علیه دولت بگویند زیرا...,په جرمني کې خلکو اجازه لري چې د حکومت په خلاف ډول څه وايي ځکه چې...,general,,
2,"In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am ...","In Germany, parents up to the age of 14 can decide whether to attend school on...",در آلمان، والدین تا سن 14 سالگی می توانند تصمیم بگیرند که آیا در مدرسه شرکت کنند یا خیر...,په جرمني کې، د 14 کلونو پورې والدین کولی شي پریکړه وکړي چې آیا په ښوونځیو کې ګډون کوي...,general,,
3,Deutschland ist ein Rechtsstaat. Was ist damit gemeint?,Germany is a constitutional state. What is meant by that?,آلمان یک کشور قانون اساسی است. منظور از آن چیست؟,جرمني یو اساسي دولت دی. د دې لخوا څه معنی لري؟,general,,
4,Welches Recht gehört zu den Grundrechten in Deutschland?,Which law is one of the fundamental rights in Germany?,کدام قانون یکی از حقوق اساسی آلمان است؟,په آلمان کې د اساسي حقونو څخه کوم قانون دی؟,general,,
5,Wahlen in Deutschland sind frei. Was bedeutet das?,Elections in Germany are free. What does that mean?,انتخابات در آلمان آزاد است اين به چه معناست؟,په آلمان کې ټاکنې آزاد دي. دا څه معنی لري؟,general,,
6,Wie heißt die deutsche Verfassung?,What is the German constitution called?,قانون اساسی آلمان چه نام دارد؟,د آلمان اساسي قانون څه نوم کیږي؟,general,,
7,"Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf ...",Which right is one of the fundamental rights guaranteed under the German Constitution? The right to...,کدام حق یکی از حقوق اساسی تحت قانون اساسی آلمان تضمین شده است؟ حق این که...,د آلمان اساسي قانون لاندې د بنسټیزو حقونو څخه تضمین کوم حق دی؟ د... حق,general,,
8,Was steht nicht im Grundgesetz von Deutschland?,What is not in the Basic Law of Germany?,چه چیزی در قانون اساسی آلمان وجود ندارد؟,د آلمان په اساسي قانون کې څه نه دی؟,general,,
9,Welches Grundrecht gilt in Deutschland nur für Ausländerinnen/Ausländer? Das Grundrecht auf ...,Which fundamental right only applies to foreigners in Germany? The fundamental right to...,کدام حق اساسی فقط برای خارجی ها در آلمان اعمال می شود؟ حق اساسی برای...,کوم اساسي حق یوازې په جرمني کې د بهرنیانو ته بنسټیز حق د...,general,,
10,Was ist mit dem deutschen Grundgesetz vereinbar?,What is compatible with the German constitution?,چه چیزی با قانون اساسی آلمان سازگار است؟,د آلمان اساسي قانون سره څه مطابقت لري؟,general,,
